date,ticker,cik,weight
2005-01-01,SLB,87347,0.0866119265594619
2005-01-01,ALL,899051,0.0613377252523144
2005-01-01,RVTY,31791,0.0595982406311247
2005-01-01,TROW,1113169,0.0422011985786988
2005-01-01,JCI,833444,0.041699092662518
2005-01-01,HST,1070750,0.0412239285300783
2005-01-01,CLX,21076,0.0373117556639647
2005-01-01,SWY,86144,0.0338753686504173
2005-01-01,NVDA,1045810,0.0288434603861188
2005-01-01,CMI,26172,0.0269472209464604
2005-01-01,INTU,896878,0.0265652438325068
2005-01-01,SO,92122,0.0255103018760307
2005-01-01,COR,1140859,0.025427443544117
2005-01-01,A,1090872,0.02525814750613
2005-01-01,T,732717,0.0249758052138566
2005-01-01,T,732717,0.0249758052138566
2005-01-01,FDX,1048911,0.0225715839761179
2005-01-01,PGR,80661,0.0217801274339342
2005-01-01,GIS,40704,0.0208653961693852
2005-01-01,MMC,62709,0.0201071925227989
2005-01-01,EBAY,1065088,0.01986079115429
2005-01-01,BIIB,875045,0.0197157418029133
2005-01-01,AAPL,320193,0.0179852452359994
2005-01-01,ATI,1018963,0.0174110616238932
2005-01-01,JBL,898293,0.0155788245422287
2005-01-01,CINF,20286,0.0154547417675538
2005-01-01,GILD,882095,0.0133256632888137
2005-01-01,INTC,50863,0.0131437332423326
2005-01-01,ADI,6281,0.0099227535208226
2005-01-01,GS,886982,0.0097808110374036
2005-01-01,TWX,1105705,0.0094360095325176
2005-01-01,HD,354950,0.0083924204145596
2005-01-01,MSI,68505,0.0081979803133773
2005-01-01,ADBE,796343,0.0080852773363981
2005-01-01,DOV,29905,0.0071513816318644
2005-01-01,WY,106535,0.0066905788128944
2005-01-01,K,55067,0.0066723471859367
2005-01-01,XOM,34088,0.0065587987269362
2005-01-01,MXIM,743316,0.0065567333744968
2005-01-01,HSY,47111,0.0060893616664518
2005-01-01,BA,12927,0.0053886353311762
2005-01-01,PFE,78003,0.0050755714409003
2005-01-01,COF,927628,0.004775531447408
2005-01-01,PFG,1126328,0.0047163754886723
2005-01-01,PACT,1089976,0.0044868013323358
2005-01-01,NUE,73309,0.0044415515049783
2005-01-01,SBL,278352,0.004012357821557
2005-01-01,CL,21665,0.003720043957683
2005-01-01,PPG,79879,0.0034266324564867
2005-01-01,KEY,91576,0.0034092294949833
2005-01-01,MS,895421,0.0030453210086205
2005-01-01,GENZ,732485,0.0028209182630646
2005-01-01,EMC,790070,0.0027687150268178
2005-01-01,MMM,66740,0.0027454913487946
2005-01-01,GLW,24741,0.002741729809816
2005-01-01,PH,76334,0.002482215449499
